compound,cluster,k_ref,model,const,power,model_ratio,const_ratio,power_ratio
YSbPd,half:X=Y,2.2567844889520567,33.70260591284679,92.39289895520263,123.95775495151524,1.337026059128468,1.9239289895520262,2.239577549515152
YSbPt,half:X=Y,2.0147061748797093,28.955025217173613,115.50999126338881,132.02620085530822,1.2895502521717361,2.1550999126338883,2.3202620085530823
YbNiSb,half:X=Yb,1.928862178646399,100.16474155204054,120.09876769670267,123.40589189046096,2.0016474155204054,2.200987676967027,2.23405891890461
ZnNiSn,half:X=Zn,2.730359480052706,79.70161203481113,54.06268874319964,41.286888073599194,1.7970161203481114,1.5406268874319964,1.412868880735992
ZrCoBi,half:X=Zr,8.326022816499119,26.944383960246682,53.93837349334868,55.815351082772594,0.8458807368887344,0.4606162650665133,0.4418464891722741
ZrCoSb,half:X=Zr,9.033749836676733,10.661344879010556,57.52345418578372,59.25732134617837,0.8933865512098944,0.4247654581421627,0.4074267865382163
ZrNiPb,half:X=Zr,5.647570806633364,19.779284753040386,32.29469966226365,36.219217094803746,0.8725845030309543,0.6770530033773635,0.6378078290519625
ZrNiSn,half:X=Zr,4.875692483256918,38.91504071060887,21.366977830447595,22.051410597822343,1.3891504071060887,0.786330221695524,0.7794858940217766
ZrSbIr,half:X=Zr,3.65,91.74824122750132,47.49943821636569,41.37108049214323,1.9174824122750134,1.107660510628861,1.0746987864662845
ZrSnPt,half:X=Zr,12.076706245633845,49.97149168504691,68.23786814139049,69.53292661564012,0.5002850831495309,0.3176213185860951,0.30467073384359883
