reduced_formula,spacegroup_number
Ba4LiNb,216
Ba4MgGa,216
Ba4MgSc,216
Ba4MgV,216
Ba4MoPt,216
Ba4NaTa,216
Ba4NbCu,216
Ba4PdW,216
Ba4ScBe,216
Ba4ScCd,216
Ba4ScCu,216
Ba4ScW,216
Ba4Si23,223
Ba4TaHg,216
Ba4TaRh,216
Ba4TlV,216
Ba4YCu,216
Ba4YPd,216
Ba4YSc,216
Ba4ZnTc,216
Ba4ZrSc,216
Ba4ZrZn,216
Ba5Al5Sn,187
Ba5Sb4,64
Ba5Sn3,140
BaAg,62
BaAg2,74
BaAg2,191
BaAg5,191
BaAgAs,194
BaAgBi,194
BaAgP,194
BaAgPd,216
BaAgPd2,216
BaAgPd2,225
BaAgSb,194
BaAgSb,216
BaAgSn,187
BaAgSn2,99
BaAgSn3,107
BaAl2,227
BaAl3Zn,119
BaAl4,139
BaAl9Co2,191
BaAl9Ni2,191
BaAlGe,187
BaAlRu,216
BaAlRu2,225
BaAlSi,187
BaAsPd,187
BaAsPd2,99
BaAsPt,198
BaAuCl,216
BaBeBi,216
BaBeGa,216
BaBeNb2,123
BaBeV2,123
BaBiO3,225
BaBiPd,187
BaBrCl,216
BaCa2Ac,225
BaCa2W,123
BaCa2Yb,225
BaCaCd,216
BaCaCr,216
BaCaGe,62
BaCaHg,216
BaCaHg2,225
BaCaIn,216
BaCaPb,216
BaCaRu2,216
BaCaSb,216
BaCaSi,216
BaCaSn,62
BaCaSn,216
BaCaTi,216
BaCaTl,216
BaCaV,216
BaCaY,216
BaCaYb2,225
BaCaZn2,225
BaCd2Sn,225
BaCdGe,194
BaCdHg,216
BaCdW2,123
BaCdW2,139
BaCeMg2,225
BaCoNi2,139
BaCoO2,152
BaCrCd,216
BaCrIn4,216
BaCrS2,59
BaCu,194
BaCu3O4,65
BaCu5AgP2,123
BaCuAs,194
BaCuAs2,99
BaCuBi,194
BaCuGe,187
BaCuP,194
BaCuP2,123
BaCuRh2,123
BaCuSb,194
BaCuSi,187
BaFeAs2Ru,119
BaFeIr2,139
BaFeO3,221
BaFePd2,123
BaGa2,191
BaGa2Bi,99
BaGa2Pt,123
BaGa2Ru,216
BaGa2Ru,225
BaGa2Sb,99
BaGa3Ru,221
BaGa4,139
BaGaBi2,99
BaGaCu2,166
BaGaFe2,123
BaGaGe,187
BaGaPb2,123
BaGaPt,187
BaGaRu,216
BaGaRu2,225
BaGaSi,187
BaGaSi2,99
BaGaW2,139
BaGe2B,216
BaGe2Ru,216
BaGe2Ru,225
BaGe2S5,227
BaGe3Ir,107
BaGe3Pd,107
BaGe3Pt,107
BaGePt,198
BaGeRu,216
BaGeRu2,225
BaHf2As,225
BaHf2Fe,216
BaHf2Fe,225
BaHf2Ge,225
BaHf2Ru,123
BaHf4Ga,216
BaHfCu2,99
BaHfFe,216
BaHfFe2,216
BaHfFe2,225
BaHfGe,216
