reduced_formula,spacegroup_number
MgTaSn,99
MgTaZn,216
MgTi2Mo,123
MgTiCo2,225
MgTiCu2,225
MgTiRh2,225
MgTiSi2,119
MgTlRh2,225
MgV,221
MgVO3,36
MgVO3,65
MgVRh2,225
MgVRu2,71
MgVRu2,225
MgVRuRh,216
MgW3,194
MgZn,51
MgZn2,63
MgZn2,194
MgZn2Au,225
MgZn2Pd3,123
MgZn2Rh3,123
MgZn2Ru,71
MgZn3,221
MgZn5,155
MgZnAg2,123
MgZnAg2,225
MgZnAs,99
MgZnAs,216
MgZnCo,74
MgZnGe,216
MgZnIr,187
MgZnIr2,225
MgZnNi2,225
MgZnNiRh,216
MgZnPd2,123
MgZnPdRh,216
MgZnPt,216
MgZnPt2,99
MgZnPt2,139
MgZnPtRh,216
MgZnRh,187
MgZnRh2,123
MgZnRh2,225
MgZr2In,123
MgZr2Nb,123
MgZrAu2,225
MgZrHg2,225
MgZrIr2,225
MgZrPd2,225
MgZrRh2,225
MgZrRuRh,216
MgZrSc6,123
MgZrZn2,225
MgZrZnCu,216
MgZrZnNi,216
MgZrZnRh,216
Mn,225
Mn(AlS2)2,227
Mn(BW)2,127
Mn(InS2)2,227
Mn(NbS2)3,182
Mn(Ni3O4)2,225
Mn2Al2Cu,107
Mn2AlCo,216
Mn2AlCr,225
Mn2AlIr,216
Mn2AlMo,225
Mn2AlRe,225
Mn2AlSi,225
Mn2AlV,225
Mn2AlW,225
Mn2Au,139
Mn2Be2Zn,139
Mn2BeCo,119
Mn2BeCu,119
Mn2BeGa,99
Mn2BeGa,119
Mn2BeGa,225
Mn2BeNi,139
Mn2BeOs,119
Mn2BePd,139
Mn2BePt,139
Mn2BeRh,139
Mn2BeTc,139
Mn2BeV,119
Mn2BeW,225
Mn2CdO4,141
Mn2CoAs,216
Mn2CoGe,216
Mn2CoMo,71
Mn2CoMo,225
Mn2CoRu,225
Mn2CoSb,216
Mn2CoSi,216
Mn2CoSn,216
Mn2CoTc,225
Mn2CrCo,225
Mn2CrGe,225
Mn2CrIr,225
Mn2CrSi,225
Mn2CuSb,216
Mn2FeRe,71
Mn2GaCo,216
Mn2GaCu,225
Mn2GaMo,225
Mn2GaRh,216
Mn2GaTc,225
Mn2GaW,225
Mn2GeMo,225
Mn2GeO4,55
Mn2GeRu,216
Mn2GeW,71
Mn2InCo,216
Mn2Mo,227
Mn2MoP12,15
Mn2MoPt,225
Mn2Nb,194
Mn2NbAl,225
Mn2NbGa,225
Mn2NbPt,225
Mn2NbSb,225
Mn2NbSi,225
Mn2NbV,123
Mn2NbV,225
Mn2NiPt,225
Mn2NiSn,216
Mn2PdAu,225
Mn2PdPt,225
Mn2PtRh,225
Mn2RuPt,225
Mn2RuRh,225
Mn2Sb2O7,227
Mn2SiMo,225
Mn2SiNi,216
Mn2SiRh,225
Mn2SiRu,216
Mn2SiTc,216
Mn2SiW,71
Mn2SnRu,216
Mn2SnW,225
Mn2TcIr,225
Mn2Tl2O7,227
Mn2V,139
Mn2V3Tc,123
Mn2VCr,123
Mn2VCr,225
Mn2VGa,225
Mn2VGe,225
Mn2VIr,225
Mn2VMo,123
Mn2VSi,225
Mn2W,227
Mn2ZnAs2,164
Mn2ZnTe4,227
Mn3(CuBi)4,225
Mn3AgN,221
Mn3CuN,221
Mn3Ga,225
Mn3Ge,221
Mn3GeIr,198
Mn3Nb6O11,164
Mn3Pd5,65
Mn3PdN,221
Mn3Sb,221
Mn3SiIr,198
Mn3SiW2,194
Mn3SnC,221
Mn3VP4,6
Mn3Zn,139
Mn3ZnC,221
Mn3ZnN,221
Mn4Ge6Ir7,229
Mn4MoOs,216
Mn4NbMo,216
Mn4NbOs,216
Mn4NbRu,216
Mn4NbTc,216
Mn6GaGe,187
Mn8(Al9Zn)3,63
MnAgPd2,71
MnAl2Co,225
MnAl2Cu,123
MnAl2Pt,225
MnAl2Tc,225
MnAl6,63
MnAlAu2,225
MnAlCo2,225
MnAlCu,194
MnAlCu2,225
MnAlFe2,216
MnAlFe2,225
MnAlIr2,225
MnAlMo,107
MnAlNi2,225
MnAlOs2,225
MnAlPd2,225
MnAlPt,194
MnAlPt2,225
MnAlRe2,99
MnAlRh2,225
MnAlRu2,225
MnAlTc,216
MnAlV,107
MnAlVCo,216
MnAsAu,216
MnAsPd,189
MnAsPd2,216
MnAsPd2,225
MnAsPt2,216
MnAsRu,189
MnAu,221
MnAu2,139
MnB2,191
MnB4,71
MnBe2Cd,119
MnBe2Co,225
MnBe2Cu,99
MnBe2Cu,123
MnBe2Ga,119
MnBe2In,119
MnBe2In,123
MnBe2Ir,119
MnBe2Ir,225
MnBe2Ni,216
MnBe2Os,216
MnBe2Pd,123
MnBe2Pt,225
MnBe2Rh,225
MnBe2Ru,225
MnBe2Sn,119
MnBe2Tc,216
MnBe2Tl,119
MnBe2V,119
MnBe2Zn,119
MnBe2Zn,123
MnBeCo2,225
MnBeCr2,119
MnBeCu2,123
MnBeFe2,119
MnBeFe2,139
MnBeGa,107
MnBeGe2,119
MnBeIr2,119
MnBeMo,156
MnBeNi2,119
MnBePd2,119
MnBeRh2,119
MnBeRu2,139
MnBeRu2,225
MnBeV,107
MnBeV2,99
MnCo2Ge,225
MnCo2Sb,225
MnCo2Si,225
MnCo2Sn,225
MnCoGe,62
MnCoSb,216
MnCoSi,216
MnCr2Ga,225
MnCr2O4,227
MnCr2Tc,225
MnCrRe,216
MnCu2Sb,225
MnCu2Sn,225
MnCu3,194
MnCu4Sn,216
MnCuAs,62
MnCuAs,129
MnCuNiSn,216
MnCuP,62
MnCuPd2,225
MnCuRh2,71
MnCuSb,216
MnFe2Ge,225
MnFe2Si,225
MnFeAs,216
MnFeSb,216
MnGa,123
MnGa2Ir,225
MnGa2Pt,225
MnGa2Rh,225
MnGa4,229
MnGaCo2,225
MnGaFe2,123
MnGaFe2,225
MnGaFeCo,216
MnGaFeW,216
MnGaGe,129
MnGaIr,216
MnGaIr2,225
MnGaNi2,123
MnGaNi2,139
MnGaNi2,225
MnGaPd2,99
MnGaPd2,225
MnGaPt,194
MnGaPt,216
MnGaPt2,225
MnGaRh2,225
MnGaRu,216
MnGaRu2,225
MnGe,198
MnGePd,189
MnGePd2,225
MnGeRh,189
MnGeRh2,225
MnGeRu2,225
MnHg,221
MnInAgPd,216
MnInCu2,225
MnInFe,187
MnInNi2,225
MnInPd2,225
MnInPt,216
MnInRh2,225
MnMoAs,216
MnNb,221
MnNb2,139
MnNb2Cr,225
MnNb2Mo,225
MnNb2Re,71
MnNb2Ru,225
MnNb2Tc,71
MnNbAs,216
MnNbAs2,99
MnNbGe,189
MnNbP,62
MnNbPt,216
MnNbRu2,225
MnNbSe,216
MnNbSi,189
MnNbTe,216
MnNbV2,216
MnNi2Ge,225
MnNi2Sb,225
MnNi2Sn,225
MnNi3,221
MnNiAs,216
MnNiB,216
MnNiP,216
MnNiSb,216
MnNiSn,216
MnNiSnPd,216
MnO,225
MnPRh,189
MnPd,123
MnPd,221
MnPd2,62
MnPd3,139
MnPdAu2,71
MnPt,123
MnPt3,221
MnRePt,216
MnRh,221
MnRh2Pb,225
MnRuPt,216
MnS,221
MnS,225
MnSbAu,216
MnSbIr,216
MnSbMo,216
MnSbPd,216
MnSbPd2,225
MnSbPt,216
MnSbRh,216
MnSbRu2,225
MnSe,194
MnSe,225
MnSi2Ir,225
MnSi2Rh,225
MnSi2Tc,225
MnSiIr,62
MnSiNi,216
MnSiNi2,225
MnSiRh2,225
MnSiRu2,225
MnSiTc2,225
MnSn2,140
MnSnAs,216
MnSnAu,216
MnSnIr,216
MnSnPd2,225
MnSnPt,216
MnSnRh2,225
MnSnRu2,225
MnTcOs,216
MnTcPd,216
MnTe,194
MnTe,216
MnTe,225
MnTePd,216
MnTlCl3,221
MnV,221
MnV2Co,225
MnV2Cr,225
MnV2Fe,225
MnV2Mo,71
MnV2Os,225
MnV2Ru,123
MnV2Ru,225
MnV2Tc,123
MnV2Tc,225
MnV2W,225
MnV3,225
MnV3Cr2,123
MnVAs,129
MnVCr2,99
MnVFeGe,216
MnVGaCo,215
MnVGeRu,216
MnVNi,216
MnVRu2,225
MnVSiOs,216
MnVSiRu,216
MnVTe,216
MnZn,221
MnZn2Co,225
MnZn3,194
MnZn3,221
MnZnAu2,225
MnZnIr2,225
MnZnPd2,225
MnZnPt,216
MnZnPt2,225
MnZnRh2,225
Mo(RhO3)2,136
Mo2As3,12
Mo2AsIr,216
Mo2AsP3,8
Mo2AsPd,216
Mo2C,60
Mo2IrOs,25
Mo2OsRh,123
Mo2OsRu,123
Mo2OsRu,139
Mo2RuPt,123
Mo3Ir,223
Mo3Os,223
Mo3P,121
Mo3Pt,221
Mo3Pt,223
Mo3Pt2N,213
Mo3W,225
Mo5As4,87
Mo8P5,6
MoAs,62
MoAs2,12
MoAsIr2,216
MoAsOs2,216
MoAsPd2,216
MoAsPt2,216
MoAsW2,216
MoC,187
MoC,194
MoC,216
MoC,225
MoF3,221
MoIr,51
MoIr,187
MoIr3,194
MoIrRu2,139
MoN,194
MoN,216
MoN,221
MoO2,14
MoO2,136
MoO3,62
MoOs3,25
MoOsPb,216
MoOsRu2,139
MoP,187
MoP,216
MoP,225
MoP2,36
MoP4,15
MoPRh,62
MoPRu,62
MoPRu,189
MoPd,187
MoPd2,71
MoPd2Rh,160
MoPd3,139
MoPt,51
MoPt2,71
MoPt3,139
MoPt3,221
MoRh,51
MoRh3,194
MoRu2Pt,123
MoRuPt,216
MoSBr,216
MoSe2,194
MoW,129
MoW,221
MoW3,225
Na(AlGa)2,139
Na(AlZn)2,139
Na(CuGe)2,139
Na(GaAg)2,139
Na(GaGe)2,139
Na(GaPd)2,139
Na(GaSn)2,139
Na(InGa)2,139
Na(InGe)2,139
Na(SiPd)2,139
Na(ZnGa)2,139
Na(ZnSi)2,139
Na2AgAs,63
Na2AgAs,216
Na2AgSb,63
Na2BeGe,216
Na2BeIn,216
Na2BeMo,99
Na2BeNb,216
Na2BePb,216
Na2BePt,139
Na2CaBe,216
Na2CaSi,216
Na2CdHg,225
Na2CdPb,216
Na2Cu,47
Na2CuAs,63
Na2CuP,63
Na2GaAs,225
Na2H6Pt,225
Na2HfBe,216
Na2HgAu,139
Na2In5Au6,200
Na2LiBe,119
Na2LiGaAs2,64
Na2MnBe,216
Na2MoO4,227
Na2NiO2,36
Na2PdC2,164
Na2PdSe2,36
Na2SnHg,216
Na2TaBe,216
Na2TiAu,225
Na2TlBi,225
Na2TlSb,225
Na2WO4,227
Na2YBe,216
Na2ZnGe,63
Na3(GePt)4,217
Na3Ag,194
Na3Ag,225
Na3In2Ag,227
Na3In2Au,227
Na3Re,225
Na3Sb,194
Na3SbS3,198
Na3SbSe3,198
Na3SbSe4,217
Na3SbTe3,198
Na3Sr3GaAs4,186
Na3Sr3GaP4,186
Na3Zn,139
Na4BePd,216
Na4BeW,216
Na4BeZn,216
Na4ScBe,216
Na4Si23,223
Na5InO4,59
Na6Cd16Au7,225
Na6CdCl8,225
Na6P4W,186
Na6S2O9,225
Na8SnSb4,227
Na8TiAs4,227
NaAc2Pb,225
NaAc2Sn,225
NaAcAu2,225
NaAcHg2,225
NaAcIn,216
NaAcTl2,225
NaAg2,227
NaAg2Pd,71
NaAg3S2,227
NaAgO,119
NaAgO,139
NaAgO,216
NaAgPd2,71
NaAgRu,216
NaAgSb,216
NaAgSe,216
NaAgTe,216
NaAlF4,63
NaAlGe,216
NaAlH4,36
NaAlZn,216
NaAsF6,225
NaAsIr2,216
NaAsOs2,216
NaAsPd,216
NaAsRh2,216
NaAsRu,216
NaAsRu2,216
NaBH4,216
NaBe2Fe,119
NaBe2P,119
NaBe2Pd,99
NaBe2Pd,119
NaBe2Pd,123
NaBe2Pt,225
NaBe2Ru,123
NaBe2Tc,119
NaBeAs,216
NaBeBi2,139
NaBeCr2,139
NaBeGa,107
NaBeIn,107
NaBeMo,107
NaBeP,216
NaBePd2,99
NaBePd2,123
NaBeRh2,119
NaBeRu2,216
NaBeSb,194
NaBeSb,216
NaBeSi2,119
NaBeSn2,119
NaBeTl2,119
NaBeV,156
NaBeV2,99
NaBeV2,119
NaBeZn,216
NaBi,123
NaBiAu,216
NaBiPd2,71
NaCa2As,225
NaCa2Be,225
NaCa2Cd,225
NaCa2Hg,225
NaCa2In,225
NaCa2Pb,225
NaCa2Sn,225
NaCa2Tl,225
NaCa2Yb,225
NaCaAs,216
NaCaAu,216
NaCaAu2,225
NaCaBi,216
NaCaP,216
NaCaPb,216
NaCaPb2,225
NaCaSb,216
NaCaSn,216
NaCaTl2,225
NaCaYb2,225
NaCd2Ag,71
NaCd2Au,225
NaCd2In,225
NaCd2Pt,225
NaCdAu,216
NaCdHg,216
NaCdHg2,225
NaCdIn2,12
NaCdIn2,71
NaCdP,216
NaCdSb,62
NaCdSn,216
NaCeAu2,225
NaCrAs,216
NaCu,187
NaCu3,139
NaCuO,139
NaCuO,216
NaCuSe,129
NaCuTe,216
NaDyTl2,225
NaErTl2,225
NaFeRu,216
NaGa4,139
NaGaAs,38
NaGaAs,99
NaGaRu,216
NaGdHf,216
NaGdZn,216
NaGe2N3,36
NaGeAu3,205
NaHfCo,216
NaHfNp,216
NaHfPb,216
NaHfPt,216
NaHfRu,216
NaHfSc,216
NaHfSn,216
NaHfTh,216
NaHg2Pd,71
NaHgBi,216
NaHgPd2,225
NaHgRu,216
NaHgSb,216
NaHoTl2,225
NaIn,227
NaIn2Au,63
NaIn2Bi,71
NaIn2Pb,71
NaIn3,221
NaInAg2,225
NaInAu,99
NaInAu,216
NaInAu2,225
NaInB,216
NaInHg,216
NaInHg2,225
NaInPb,216
NaInPd,216
NaInPt,216
NaInSi,216
NaIrPb,216
NaLaHf,216
NaLaIn,216
NaLi2As,225
NaLi2Bi,225
NaLi2Ca,225
NaLi2Pb,225
NaLi2Sb,225
NaLi2Zn,225
NaLiAs,216
NaLiO,139
NaLiP,216
NaLiPt,216
NaLiSe,216
NaLiTe,216
NaLuHf,216
NaMg2Au,225
NaMg2Be,225
NaMg2P,119
NaMg2Zn,225
NaMg6Nb,123
NaMgAs,216
NaMgP,216
NaMgPb2,225
NaMgRu,216
NaMgSb,216
NaMgTa,216
NaMgTl2,225
NaMnAs,216
NaMnO2,59
NaMo2As,216
NaMoRu,216
NaNbAg,216
NaNbB,216
NaNbGe,216
NaNbO3,127
NaNbO3,221
NaNbPt,216
NaNbS2,194
NaNbSe2,194
NaNbSn,216
NaNbTl,216
NaNbW,216
NaNdAu2,225
NaNdHg2,225
NaNdIn,216
NaNdRu,216
NaNdTl2,225
NaNiF3,63
NaPF6,225
NaPbAu,216
NaPd2Pb,225
NaPd3,139
NaPd3O4,223
NaPdPb,187
NaPdPb2,225
NaPm2Ru,225
NaPmAu2,225
NaPmHg2,225
NaPmIn,216
NaPmTl2,225
NaPmZn2,225
NaPr2Pb,225
NaPr2Ru,225
NaPr2Tl,225
NaPrAu2,225
NaPrHg2,225
NaPrIn,216
NaPrRu,216
NaPrTl2,225
NaPt2,227
NaPt3O4,223
NaPuNb,216
NaRe2As,216
NaRe3,225
NaRu3,139
NaRuPt,216
NaSbF6,205
NaSbF6,225
NaSbO3,62
NaSbO3,227
NaSc2Be,99
NaSc2Be,119
NaScBe,107
NaScGe,216
NaScIn,216
NaScNb,216
NaScPb,216
NaScRu,216
NaScSi,216
NaScSn,216
NaScTa,216
NaScTl2,71
NaScZn,216
NaSi2Pd3,44
NaSiAu3,205
NaSm2Ru,225
NaSmAu2,225
NaSmHg2,225
NaSmIn,216
NaSmTl2,225
NaSnHg,216
NaSr2Au,225
NaSr2In,225
NaSr2Tl,225
NaSrAs,216
NaSrAu,216
NaSrBi,216
NaSrHg,216
NaSrIn2,99
NaSrNb2,225
NaSrP,216
NaSrRe2,225
NaSrSb,216
NaSrTa,216
NaSrYb2,225
NaTaAu,216
NaTaBe,156
NaTaCr,216
NaTaGe,216
NaTaNi,216
NaTaO3,127
NaTaO3,221
NaTaPb,216
NaTaPt,216
NaTaSi,216
NaTaV,216
NaTaW,216
NaTbNb,216
NaTbTa,216
NaTc2As,216
NaThNb,216
NaThZn,216
NaTiBe2,225
NaTiIn,216
NaTiRu,216
NaTiSb,216
NaTl2Cd,225
NaTl2In,71
NaTl2In,225
NaTlHg2,225
NaTlPd,187
NaTlPd2,225
NaTm2Os,225
NaTmIn,216
NaTmRu,216
NaTmTa,216
NaTmZn,216
NaUNb,216
NaV,221
NaVAs,216
NaVF3,221
NaVIn,216
NaVRu,216
NaWO3,221
NaY2Be,119
NaY2In,225
NaYGe,216
NaYHf,216
NaYIn,187
NaYSi,216
NaYSn,216
NaYb2Ir,225
NaYb2Pb,225
NaYbAu2,225
NaYbIn,216
NaYbRu,216
NaZn,123
NaZn,187
NaZn13,226
NaZn2,10
NaZn2,47
NaZn3,194
NaZnAs,129
NaZnAs,216
NaZnCo,216
NaZnF3,62
NaZnFe,216
NaZnGe,216
NaZnOs,216
NaZnP,129
NaZnP,216
NaZnPb,216
NaZnPd2,71
NaZnPt,216
NaZnSb,129
NaZnSb,216
Nb(BMo)2,127
Nb(CoB)2,139
Nb(CoP)2,139
Nb(CoSi)2,139
Nb(FeB)2,139
Nb(GaNi4)3,123
Nb(ZnGa)3,166
Nb2Al,136
Nb2Al3Ir,194
Nb2AsC,194
Nb2B3,63
Nb2C,62
Nb2CS,194
Nb2Cd2O7,227
Nb2Co12P7,174
Nb2Co3Ge,194
Nb2Co3Si,194
Nb2CoB2,71
Nb2CrAs,216
Nb2CrB2,127
Nb2CrMo,71
Nb2CrOs,71
Nb2CrOs,123
Nb2CrOs,225
Nb2CrRe,71
Nb2CrRh,123
Nb2CrRu,71
Nb2CrRu,123
Nb2CrRu,225
Nb2CrTc,225
Nb2CuRe,71
Nb2Fe,140
Nb2FeMo,71
Nb2FeTc,71
Nb2Ga,139
Nb2Ga,140
Nb2GaC,194
Nb2InC,194
Nb2Mo,139
Nb2MoOs,71
Nb2MoOs,123
Nb2MoOs,225
Nb2MoRh,225
Nb2MoRu,71
Nb2MoRu,123
Nb2MoRu,225
Nb2MoW,71
Nb2Ni,140
Nb2OsW,71
Nb2OsW,123
Nb2OsW,225
Nb2P,139
Nb2P5,62
Nb2PC,194
Nb2Pd,129
Nb2PdRh,123
Nb2PdRh,139
Nb2PdRu,123
Nb2PtRh,139
Nb2ReMo,71
Nb2RePd,71
Nb2ReRh,71
Nb2ReRu,71
Nb2ReTc,71
Nb2Ru,139
Nb2RuAu,123
Nb2RuPt,123
Nb2RuW,123
Nb2RuW,225
Nb2Sn2O7,227
Nb2TcMo,225
Nb2TcNi,71
Nb2TcOs,225
Nb2TcRu,71
Nb2TcRu,123
Nb2TcRu,225
Nb2TcW,71
Nb2TcW,225
Nb2VAs,216
Nb2VCu,123
Nb2VMo,123
Nb2VOs,71
Nb2VOs,225
Nb2VRh,123
Nb2VRu,71
Nb2VRu,123
Nb2VTc,71
Nb2VTc,123
Nb2VW,71
Nb2W,139
Nb2ZnO6,60
Nb3(Fe10B3)2,225
Nb3Al,223
Nb3Al2C,213
Nb3Al2N,213
Nb3As,223
Nb3Au,65
Nb3Au,223
Nb3Au2,139
Nb3Au2,213
Nb3B2,127
Nb3B3C,63
Nb3B4,71
Nb3Bi,223
Nb3Co4B7,63
Nb3Cr,139
Nb3Cr,221
Nb3Cr,225
Nb3Cr3C,227
Nb3Cr8Si,156
Nb3Cu2,139
Nb3CuTe4,176
Nb3Fe,139
Nb3Fe,221
Nb3Fe,225
Nb3Ga,223
Nb3Ga2,127
Nb3Ge,223
Nb3In,223
Nb3Ir,223
Nb3Mo,123
Nb3Ni,139
Nb3Ni,221
Nb3Ni,225
Nb3Ni3C,227
Nb3Os,223
Nb3Os,225
Nb3P,139
Nb3Pb,223
Nb3Pd,65
Nb3Pt,223
Nb3Rh,223
Nb3RhSe6,182
Nb3Ru,225
Nb3S4,176
Nb3Sb,223
Nb3Sb2Te5,217
Nb3Se4,176
Nb3Si,221
Nb3Si,223
Nb3Si2,127
Nb3Sn,223
Nb3SnS6,193
Nb3Te,223
Nb3Te3As,176
Nb3Te4,176
Nb3Tl,223
Nb3VS6,182
Nb3Zn3N,227
Nb4AlC3,194
Nb4C3,221
Nb4CoSi,124
Nb4CuSi,124
Nb4FeP,124
Nb4FeSi,124
Nb4N3,139
Nb4Ni2C,227
Nb4Ni2N,227
Nb4NiP,124
Nb4O5,137
Nb4Rh2C,227
Nb4SiC3,194
Nb4SiNi,124
Nb4Zn2C,227
Nb5(CuSi)4,87
Nb5(NiP)4,87
Nb5(PPd)4,87
Nb5Ga13,65
Nb5Ga4,193
Nb5Ge3,140
Nb5Ge3B,193
Nb5Sb4,87
Nb5Si3P,193
Nb6Co16Si7,225
Nb6Co7,166
Nb6PtAu,200
Nb6Si7Ni16,225
Nb6SiSn,200
Nb7(B4Ru3)2,175
Nb8Zn4C3,227
NbAgO3,221
NbAgPt,216
NbAl2Cu,123
NbAl2Ni3,123
NbAl3,139
NbAl6Mo,123
NbAlCo2,225
NbAlCoCu,216
NbAlFe2,225
NbAlNi,107
NbAlNi,216
NbAlNi2,225
NbAlOs2,225
NbAlPd,107
NbAlPt,216
NbAlPt2,123
NbAlRu2,225
NbAlTcRu,216
NbAlV2,225
NbAlZn,38
NbAs,109
NbAs2,12
NbAsOs,216
NbAsOs2,216
NbAsP,187
NbAsPt,216
NbAsRu,216
NbAu2,191
NbB,63
NbB2,191
NbB2W,38
NbBO4,141
NbBPt,216
NbBW,216
NbBi2Mo,216
NbBiOs,216
NbBiPt,216
NbBiRu,216
NbC,194
NbC,216
NbC,221
NbC,225
NbCd3,221
NbCdPt,216
NbCo,221
NbCo2,227
NbCo2Cu,225
NbCo2Si,225
NbCo2Sn,225
NbCo3,186
NbCo3,194
NbCo3,221
NbCoAs,62
NbCoC,216
NbCoGe,62
NbCoGe,216
NbCoNi2,123
NbCoP,62
NbCoP2,99
NbCoPb,216
NbCoPt,216
NbCoRh2,123
NbCoRu,194
NbCoSb,216
NbCoSi,62
NbCoSi,216
NbCoSn,216
NbCr2,227
NbCr2W,71
NbCr2W,123
NbCr2W,225
NbCr3,139
NbCr3,221
NbCr3,225
NbCr4Os,216
NbCr4W,216
NbCrCo,216
NbCrGe,189
NbCrN,129
NbCrP,62
NbCrPt,216
NbCrRe2,71
NbCrSi,189
NbCrTc2,71
NbCrW,216
NbCu3S4,215
NbCu3Se4,215
NbCu3Te4,215
NbCuNi6,187
NbCuPd2,139
NbCuPt,216
NbCuPt2,139
NbF4,139
NbFe,221
NbFe3,139
NbFe3,225
NbFeAs,62
NbFeAs,216
NbFeB,187
NbFeBi,216
NbFeP,62
NbFeP,216
NbFePt,216
NbFeSb,216
NbFeTcGe,216
NbGa3,139
NbGaAs,216
NbGaCo2,225
NbGaFe2,225
NbGaNi,216
NbGaNi2,225
NbGaPd,107
NbGaPd,216
NbGaPt,216
NbGaRh,187
NbGaRu2,225
NbGaTc,107
NbGaTc2,71
NbGaTcOs,216
NbGe2,180
NbGeAs,129
NbGeAs,216
NbGeIr,62
NbGeIr,216
NbGePt,62
NbGePt,216
NbGeRh,62
NbGeRh,216
NbGeRh2,99
NbGeRu2,225
NbGeSb,129
NbH2,225
NbHgPt,216
NbInNi,107
NbInNi,216
NbInNi2,71
NbInNi2,225
NbInNi4,216
NbInPd,216
NbInPt,216
NbInPt2,99
NbInRu,216
NbInRu2,123
NbInRu2,225
NbIr,51
NbIr,123
NbIr3,221
NbIrC,216
NbIrPb,216
NbIrPt,216
NbMo,221
NbMo2W,71
NbMo2W,123
NbMo2W,225
NbMo3,225
NbMoOsW,216
NbMoPt,216
NbMoRuW,216
NbMoW,42
NbMoW2,225
NbN,186
NbN,187
NbN,194
NbN,221
NbN,225
NbNi2,227
NbNi2Sn,225
NbNi3,59
NbNi3,139
NbNi3,221
NbNi3,225
NbNi4Pd,216
NbNiAs,62
NbNiAs2,62
NbNiB,63
NbNiB,216
NbNiB2,62
NbNiP,62
NbNiP2,62
NbNiPt,216
NbNiRu2,123
NbO,221
NbO2,136
NbOsPb,216
NbOsPt,216
NbOsRh2,123
NbOsRu2,123
NbP,109
NbP,141
NbP2,12
NbPOs,216
NbPRh,62
NbPRu,62
NbPRu,216
NbPd,123
NbPd2,71
NbPd2Rh,123
NbPd2Ru,123
NbPd3,139
NbPdPt,216
NbPt,51
NbPt2,71
NbPt3,59
NbPt3,139
NbPtAu,216
NbPtPb,216
NbPtRh,216
NbPtW,216
NbRe2Mo,71
NbReMo,42
NbReMo2,71
NbRePt,216
NbReSi,189
NbReW2,71
NbRh,51
NbRh,123
NbRh3,221
NbRhC,216
NbRhPb,216
NbRu,123
NbRu,221
NbRu2Au,123
NbRu2Rh,123
NbRu3,139
NbRu3,221
NbRu3C,221
NbRuPt,216
NbRuRh2,123
NbS,194
NbSb2,12
NbSbOs,216
NbSbPt,216
NbSbRh,216
NbSbRu,216
NbSe4,124
NbSi2,180
NbSi2,181
NbSiAs,129
NbSiIr,62
NbSiIr,216
NbSiNi,62
NbSiPd,62
NbSiPt,62
NbSiPt,216
NbSiRh,62
NbSiRh,216
NbSiRu2,225
NbSiTc2,225
NbSiTcRu,216
NbSnIr,216
NbSnPt,216
NbSnRh,216
NbSnRh2,139
NbSnRu,216
NbSnSb,69
NbTc2Ge,123
NbTc2Ge,225
NbTc2Mo,71
NbTc2Mo,123
NbTc2Mo,225
NbTc2Sb,225
NbTc2Sn,225
NbTc2W,71
NbTc2W,123
NbTc2W,225
NbTcGeRu,216
NbTcMoW,216
NbTcPt,216
NbTcW2,71
NbTe4,124
NbTlNi,216
NbTlPt,216
NbV,221
NbV2,227
NbV2Au,123
NbV2Fe,225
NbV2Mo,71
NbV2Os,225
NbV2Ru,225
NbV2W,123
NbV3,225
NbVMo2,71
NbVMo2,123
NbVMo2,225
NbVMoOs,216
NbVMoRu,216
NbVP,62
NbVPt,216
NbVRe,42
NbVSi,129
NbVTc2,123
NbVTcMo,216
NbVW2,123
NbVW2,225
NbW3,123
NbW3,225
NbZn,123
NbZn2,227
NbZn3,221
NbZn4Tc,216
NbZnCo2,225
NbZnFeCo,216
NbZnOs2,225
NbZnOsRh,216
NbZnOsRu,216
NbZnPt,216
NbZnRh2,225
NbZnRu2,123
NbZnRu2,225
NbZnRuRh,216
Nd(AgGe)2,139
Nd(Al2Cu)4,139
Nd(Al5Ru)2,63
Nd(AsPd)2,139
Nd(CuGe)2,139
Nd(CuSi)2,139
Nd(GaAu)2,139
Nd(GePd)2,139
Nd(GeRu)2,139
Nd(P3Ru)4,204
Nd(SiAg)2,139
Nd(SiPd)2,139
Nd(SiRu)2,139
Nd(ZnGa)2,139
Nd2(CuAg)5,47
Nd2(Ga3Ru)3,63
Nd2(Zn2Ge)3,189
Nd2AgHg,225
Nd2AgIr,225
Nd2CdHg,225
Nd2CdIn,225
Nd2CdPd2,127
Nd2CuIr,225
Nd2CuRu,225
Nd2GaAg,225
Nd2Ge2Ru,12
Nd2Ge3Pd,25
Nd2In,194
Nd2InAg,225
Nd2InHg,225
Nd2InNi2,55
Nd2InPd2,127
Nd2IrAu,225
Nd2IrPd,225
Nd2IrRu,225
Nd2MgAl,225
Nd2MgCu2,127
Nd2MgIn,225
Nd2MgTl,225
Nd2NiIr,225
Nd2ScSi2,127
Nd2ZnAg,225
Nd2ZnGa,225
Nd2ZnIn,225
Nd2ZnIr,225
Nd3(Al3Ru)4,194
Nd3(GeRu)2,57
Nd3Ag,194
Nd3Cu3Sb4,220
Nd3Ge13Ru4,223
Nd3In,221
Nd3Zn,139
Nd4Zn3Au5,6
NdAg,221
NdAg2,191
NdAgAs2,62
NdAgAs2,129
NdAgHg2,225
NdAgPb,186
NdAgSn,186
NdAl3Cu,107
NdAl3Pd2,191
