compound,cluster,T,k_ref,k_pred,k_pred_hurdle,p_low,n_ref_rows,klass,Yfam,ratio,ape,suspect_ref
DySbPt,half:X=Dy,300.0,3.8,6.5704,6.1631,0.0576,1,half,Sb,1.7290526315789476,72.90526315789475,False
DySbPt,half:X=Dy,500.0,3.5,3.6721,4.0209,0.0463,1,half,Sb,1.0491714285714286,4.9171428571428555,False
DySbPt,half:X=Dy,700.0,3.5,2.6193,2.5617,0.1546,1,half,Sb,0.7483714285714286,25.162857142857145,False
DySbPt,half:X=Dy,900.0,3.8,2.0307,2.1521,0.1595,1,half,Sb,0.5343947368421053,46.56052631578947,False
ErBiPd,half:X=Er,400.0,5.4430180228533125,3.7613,4.8045,0.0148,2,half,Bi,0.6910320679093158,30.896793209068424,False
ErBiPd,half:X=Er,500.0,5.465659157335727,3.0065,3.849,0.0161,1,half,Bi,0.5500708905283327,44.99291094716673,False
ErBiPd,half:X=Er,600.0,5.566154452177786,2.3762,3.2952,0.0224,2,half,Bi,0.4269015566160403,57.30984433839596,False
ErBiPd,half:X=Er,700.0,5.428967707980956,2.1055,2.3448,0.3936,1,half,Bi,0.38782695224080455,61.21730477591955,False
ErBiPd,half:X=Er,800.0,5.265734270917282,1.8366,1.9955,0.517,2,half,Bi,0.34878326658896663,65.12167334110335,False
ErBiPd,half:X=Er,900.0,5.159320413873155,1.6232,1.5724,0.7235,2,half,Bi,0.31461507907810804,68.5384920921892,False
ErBiPd,half:X=Er,1000.0,4.908259831932599,1.4189,1.3891,0.7513,1,half,Bi,0.2890841252471584,71.09158747528417,False
ErNiSb,half:X=Er,200.0,6.873749058922181,14.1434,13.7451,0.0178,2,half,Ni,2.0575962082354105,105.75962082354103,False
ErNiSb,half:X=Er,300.0,6.141843880492384,9.6263,7.6822,0.0972,4,half,Ni,1.5673306237195128,56.733062371951284,False
ErNiSb,half:X=Er,400.0,3.798465603465854,7.3962,6.4806,0.0868,5,half,Ni,1.9471546598319718,94.71546598319718,False
ErNiSb,half:X=Er,500.0,3.624126514351958,6.3651,5.3934,0.0842,4,half,Ni,1.7563128590554087,75.63128590554088,False
ErNiSb,half:X=Er,600.0,3.6956812364505427,5.122,4.6731,0.0726,4,half,Ni,1.385942042154951,38.59420421549511,False
ErNiSb,half:X=Er,700.0,3.755195490801049,4.4406,4.2514,0.0666,4,half,Ni,1.1825216585602423,18.25216585602423,False
ErNiSb,half:X=Er,800.0,3.887669441105584,3.8893,3.6985,0.081,5,half,Ni,1.0004194180907398,0.041941809073983385,False
ErNiSb,half:X=Er,900.0,4.022879750140978,3.4468,3.1571,0.1178,5,half,Ni,0.8567991623113294,14.320083768867066,False
ErNiSb,half:X=Er,1000.0,6.381286723189528,3.1208,2.9194,0.1206,1,half,Ni,0.4890549720417743,51.09450279582257,False
ErSbPd,half:X=Er,200.0,2.145705210737223,9.1555,9.1317,0.0122,7,half,Sb,4.266895542866462,326.68955428664617,False
ErSbPd,half:X=Er,300.0,2.2173606602427403,6.291,5.6512,0.0634,7,half,Sb,2.8371568562559903,183.71568562559906,False
ErSbPd,half:X=Er,400.0,4.861203692800764,4.2332,4.4236,0.0608,2,half,Sb,0.8708131293221038,12.918687067789625,False
ErSbPd,half:X=Er,500.0,5.239878847050671,3.5723,3.6817,0.0597,1,half,Sb,0.6817524038768018,31.824759612319824,False
ErSbPd,half:X=Er,600.0,5.650656177311548,2.9294,3.1599,0.0798,2,half,Sb,0.5184176683341829,48.15823316658171,False
ErSbPd,half:X=Er,700.0,6.191587312156317,2.7863,2.3705,0.3789,2,half,Sb,0.4500138429009132,54.998615709908684,False
ErSbPd,half:X=Er,800.0,6.38805140505187,2.4994,1.9127,0.4919,1,half,Sb,0.3912617231012569,60.87382768987431,False
ErSbPd,half:X=Er,900.0,6.437225572581987,2.2222,1.613,0.5956,2,half,Sb,0.3452108326706765,65.47891673293235,False
