compound,cluster,n_bins,T_lo,T_hi,k_ref,k_pred,ape_med,ape_worst,worst_bin,ratio,r_lo,r_hi,n_doi,T_span,meas_slope,in2x_all,broken
HfNiSn,half:X=Hf,8,200.0,900.0,3.87540282550126,4.761720437761786,38.81269984011994,50.467339335327125,79.3414901515885,1.2640283842949078,1.0740180059923827,1.5046733933532712,8,681.2093,-0.8974103844080606,True,False
HfSnPt,half:X=Hf,9,300.0,1100.0,7.977856141758178,3.9704699999999997,48.781725204393176,64.83196343078802,75.52697251277995,0.5121827479560682,0.3516803656921198,0.6154553053637326,2,777.6297,-0.77162490626974,False,False
HoNiSb,half:X=Ho,2,200.0,300.0,4.294048142214199,3.632810672002175,25.21892121890089,32.691207532259135,50.5516060338285,0.8459014434966976,0.7148752834492227,1.3269120753225914,1,88.0,0.42441111672221404,True,True
HoSbPd,half:X=Ho,2,200.0,300.0,2.01089938241407,2.0877104317051502,15.106768604310862,67.80942728494036,80.61286625695777,1.039164968844231,0.8489323139568914,1.6780942728494035,2,122.4,0.34457068149674763,True,True
LaBiPd,half:X=La,8,300.0,1000.0,3.1314683455065646,0.5900263731831057,79.58956403835452,84.86843977009701,87.32469645580952,0.20410435961645476,0.15131560229902985,0.3282547439210213,1,635.3367999999999,-0.32240494737719033,False,False
LaSbPd,half:X=La,8,300.0,1000.0,1.9131938323286921,1.5723172080403045,14.61664904459311,46.335936641948564,51.1931209646925,0.8538335095540689,0.5366406335805143,0.9213442892080201,1,645.2559000000001,-0.4186386487607926,True,False
LiAlGe,half:X=Li,3,200.0,400.0,1.3738735785931435,3.603807999999999,162.31001572141187,222.83887463225537,382.9372879799295,2.623100157214119,1.999261098544943,3.228388746322554,1,193.7661,-0.7566275633143879,False,False
LiAlSi,half:X=Li,3,200.0,400.0,11.688246979711124,2.5430365428944355,79.97988916505739,84.98430087038274,89.27787619071084,0.20020110834942612,0.15015699129617271,0.291172748651493,1,187.4701,-0.7537073060689706,False,False
LiZnSb,half:X=Li,3,300.0,500.0,3.1509193661394743,3.1155999999999993,14.757561603765017,49.86830175917788,68.19018013527706,0.9728761191737694,0.8060849283704439,1.498683017591779,1,223.49209999999994,-0.6402816712365744,True,False
LuNiSb,half:X=Lu,8,200.0,900.0,4.347852861640272,4.083469588594737,17.537578604124555,30.501866185948074,56.82068441142525,0.9353700347415924,0.6949813381405192,0.9923757009882956,2,732.5999999999999,-0.36587483439328566,True,False
LuSbPt,half:X=Lu,4,300.0,900.0,3.45,2.58407657756024,27.307621668396287,42.63578717019395,57.69314257946976,0.7269237833160371,0.5736421282980605,0.9060982565789474,1,575.0,-0.10037801028244217,True,False
MgAgSb,half:X=Mg,3,300.0,500.0,0.6967123947969183,3.0485907042355733,337.5680305105228,476.8465235073039,1824.6183890426846,4.375680305105228,3.477553869153619,5.76846523507304,1,173.94050000000004,4.653626239068615,False,True
MgNiSb,half:X=Mg,3,200.0,400.0,3.6339012801980033,6.432777999999999,77.02126458563264,118.506073438719,169.89285967281674,1.7702126458563263,1.411984422350742,2.18506073438719,1,160.6205,-0.5183906450240826,False,False
NbCoSb,half:X=Nb,9,300.0,1100.0,3.047579747595911,6.6519,105.18156111161518,112.19607483807657,155.89849835606864,2.051815611116152,1.7267887420882908,2.121960748380766,5,826.4472000000001,-0.36776621411540683,False,False
NbCoSn,half:X=Nb,8,300.0,1000.0,6.4407315603485396,6.194346104472791,11.534673045139659,21.59361814044255,42.26717420537604,0.977432800023269,0.7840638185955744,1.061059307059705,14,685.1813,-0.38676356474265144,True,False
NbFeSb,half:X=Nb,10,200.0,1100.0,5.2249992178770555,6.295722,59.45972283938134,69.61147892962546,182.60741320387245,1.15883908833215,1.054960845712217,1.4209633444701395,7,871.1800000000001,-1.0391030436583917,True,False
ScNiSb,half:X=Sc,8,200.0,900.0,7.062267981901979,4.682672290515424,34.98044833521679,41.64069348364252,58.03511375894773,0.6501955166478322,0.5835930651635748,0.715528185862232,4,738.4833,-0.043537343556085316,True,False
ScSbPd,half:X=Sc,3,200.0,400.0,3.5993325946112646,3.561705,8.870693329264968,17.380683172982227,33.64156882024618,0.989545952305825,0.8261931682701777,1.0429211575759965,1,161.5202,-0.5595468065231078,True,False
TaCoSn,half:X=Ta,8,300.0,1000.0,3.9071332027553964,7.1624765989577455,86.67092429395328,98.68053164793466,130.93011596026167,1.8667092429395327,1.636664511816357,1.9868053164793462,1,673.61,-0.46064591467909344,True,False
TaFeSb,half:X=Ta,9,200.0,1000.0,9.153440565691756,7.412478675294052,25.239326253388228,35.76335236261053,63.07362800351104,0.8951419467950925,0.8098024586598565,1.0915515458287928,2,769.5739,-0.7354827822939163,True,False
TbSbPt,half:X=Tb,4,300.0,900.0,2.95,1.9022374999999998,35.47341954022989,40.650711608983045,58.226199504983924,0.6452658045977011,0.5934928839101695,0.7782367816091954,1,575.0,0.09280346197863029,True,True
TiCoSb,half:X=Ti,9,200.0,1000.0,8.083246826770843,8.0814,16.472645019406524,21.427867812034883,56.57331648013364,0.9168993676882085,0.8769450397253604,1.2142786781203487,24,789.0902,-0.3686189359713247,True,False
TiNiSn,half:X=Ti,9,200.0,1000.0,4.523324511634004,7.696727171015632,73.71959092301702,91.89400449282631,158.99468490291804,1.73719590923017,1.6844056310203113,1.918940044928263,32,773.0996,-0.40151354283786816,True,False
TiSnPt,half:X=Ti,8,400.0,1100.0,9.689373455748266,5.87725,42.25944885025827,51.26015298800855,63.701739594294246,0.5774055114974173,0.4873984701199145,0.6424916496853073,1,702.0279,-0.7882101825943373,False,False
TmNiSb,half:X=Tm,8,200.0,900.0,3.4697336497777895,4.072859206626515,22.841875219128312,28.54748607805168,92.94110881573921,1.1244777743906365,0.8962166121954916,1.228418752191283,3,738.8171,-0.2993415406670008,True,False
VCoSb,half:X=V,8,300.0,1000.0,2.351893256615817,8.482209731780829,238.56442165115453,289.5781710080835,384.6582706631306,3.3856442165115452,3.0518284548467607,3.8957817100808345,4,685.0024000000001,-0.21634164370320808,False,False
VCoSn,half:X=V,4,300.0,600.0,6.549751552807013,8.660378715264683,80.48494750268858,104.39672602653445,2485.05711899426,1.6047734999350376,1.0839165045901031,2.0127619813251627,1,270.52329999999995,-5.279895507233938,False,False
VFeSb,half:X=V,8,300.0,1000.0,5.771903961317898,7.20585,32.70017584040888,62.364828347587746,287.0272013584386,1.327001758404089,1.2418728765513203,1.6236482834758774,9,651.9719,-0.8257844605508944,True,False
VNiSn,half:X=V,5,300.0,700.0,2.2,6.921717640465325,214.62352911206023,291.0684247305981,323.33,3.146235291120602,1.5553856221783897,3.9106842473059813,1,423.0,-0.5771162550777632,False,False
YNiBi,half:X=Y,6,200.0,700.0,3.5596338003894465,2.986921159760149,21.730118939123376,26.79205243254671,57.48753170334729,0.8627274286780955,0.750588772863132,1.0822514353796011,1,456.9037000000001,0.5148023261780174,True,True
YNiSb,half:X=Y,3,200.0,400.0,2.2655074055852795,4.320639999999999,90.71400911548947,103.65923274517056,123.64749331179594,1.9071400911548948,1.4284012604229546,2.0365923274517055,2,156.21480000000003,-0.4064036059067074,False,False
YSbPd,half:X=Y,3,200.0,400.0,2.2567844889520567,2.895173244279562,30.805312357085768,48.21240649131991,51.80253217669023,1.3080531235708577,1.1639347987630566,1.482124064913199,1,161.5711,-0.26665691875645076,True,False
YSbPt,half:X=Y,9,200.0,1000.0,2.0147061748797093,2.1831602806136714,17.38288664574844,38.23462079139385,111.91685543339733,1.1738288664574843,0.8633143683332223,1.3823462079139386,3,751.0383999999999,-0.38125061167343344,True,False
YbNiSb,half:X=Yb,7,200.0,800.0,1.928862178646399,3.5358897278015076,97.09170758512849,100.16474155204054,130.7376605545681,1.9709170758512848,1.6389334745451138,2.0016474155204054,2,640.6999999999999,-0.4047197909800716,False,False
ZnNiSn,half:X=Zn,5,600.0,1000.0,2.730359480052706,4.8182,73.28572929976943,116.71505320924913,134.3606160786053,1.7328572929976944,1.5139771082841271,2.1671505320924913,1,401.64,-0.6797156545185212,False,False
ZrCoBi,half:X=Zr,8,300.0,1000.0,8.326022816499119,5.228387712800842,37.16681713883253,40.68743358655236,70.23822098175096,0.6579932514322671,0.6272786892382348,0.8458807368887344,2,676.2443,-0.8562359880442916,True,False
ZrCoSb,half:X=Zr,10,200.0,1100.0,9.033749836676733,5.9058444490748565,33.744596665711875,35.848324976047095,71.35292609040636,0.6625540333428812,0.6415167502395291,0.8933865512098944,15,873.5280000000001,-0.711696700161115,True,False
ZrNiPb,half:X=Zr,7,300.0,900.0,5.647570806633364,4.794994578577006,19.779284753040386,26.998555044086046,53.78957600521732,0.8605000258342693,0.7300144495591395,0.9016833284137332,1,571.6499,-0.28224215937424924,True,False
ZrNiSn,half:X=Zr,10,200.0,1100.0,4.875692483256918,5.334939738282712,26.381949991351714,38.91504071060887,64.4210284486146,1.1577976904297997,0.9889948531768027,1.3891504071060887,40,881.0129999999999,-0.483470921568699,True,False
ZrSbIr,half:X=Zr,4,300.0,1000.0,3.65,4.918352746690868,61.12877378646093,91.74824122750132,159.14444444444445,1.4295845728752914,1.2525328569995045,1.9174824122750134,1,650.0,-1.4136937537757275,True,False
ZrSnPt,half:X=Zr,8,300.0,1000.0,12.076706245633845,4.331263859829928,63.683462173714396,64.08350864436913,79.73258087997243,0.363165378262856,0.35916491355630875,0.5002850831495309,1,664.4694000000001,-0.7607062952405065,False,False
