formula,kappa_L,kappa_units,temperature_K,method,method_tier,tier_name,weight,struct_a_A,struct_spacegroup,struct_sg_symbol,struct_prototype,struct_site_ordering,struct_species,struct_frac_coords,struct_grade,lattice_convention,source,source_doi,source_url,source_location,struct_source,struct_source_url,struct_source_detail,struct_id,struct_same_paper_as_kappa,stoichiometry,parent_formula
LiAg2Sn,0.82723,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.66754,225.0,Fm-3m,full_Heusler_L21,,"[""Li"", ""Ag"", ""Ag"", ""Sn""]","[[0.0, 0.0, 0.0], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.5, 0.5, 0.5]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2Li1Sn1_ICSD_151446,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-15102.xml,JARVIS-DFT (NIST),JVASP-15102,False,stoichiometric,LiAg2Sn
LiAl2Ir,8.64435,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.04467,225.0,Fm-3m,full_Heusler_L21,,"[""Li"", ""Al"", ""Al"", ""Ir""]","[[0.5, 0.5, 0.5], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.0, 0.0, 0.0]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al2Ir1Li1_ICSD_105155,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-16583.xml,JARVIS-DFT (NIST),JVASP-16583,False,stoichiometric,LiAl2Ir
LiAl2Pt,7.86111,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.08914,225.0,Fm-3m,full_Heusler_L21,,"[""Li"", ""Al"", ""Al"", ""Pt""]","[[0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al2Li1Pt1_ICSD_105507,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18766.xml,JARVIS-DFT (NIST),JVASP-18766,False,stoichiometric,LiAl2Pt
LiAl2Rh,9.40332,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.03582,225.0,Fm-3m,full_Heusler_L21,,"[""Li"", ""Al"", ""Al"", ""Rh""]","[[0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al2Li1Rh1_ICSD_105509,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18768.xml,JARVIS-DFT (NIST),JVASP-18768,False,stoichiometric,LiAl2Rh
LiCu2Ge,2.17903,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.900876799679859,225.0,,full_L21,,,,C,primitive->conventional (x sqrt2),AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu2Ge1Li1_ICSD_15129,,AFLOW,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu2Ge1Li1_ICSD_15129,AFLOW_AGL,aflow:3cb72890f73b7821,False,stoichiometric,LiCu2Ge
LiCu2Si,4.60526,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.78634,225.0,Fm-3m,full_Heusler_L21,,"[""Li"", ""Si"", ""Cu"", ""Cu""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu2Li1Si1_ICSD_15128,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-15810.xml,JARVIS-DFT (NIST),JVASP-15810,False,stoichiometric,LiCu2Si
LiGeRh2,9.65804,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.91143,225.0,Fm-3m,full_Heusler_L21,,"[""Li"", ""Ge"", ""Rh"", ""Rh""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ge1Li1Rh2_ICSD_417739,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-17216.xml,JARVIS-DFT (NIST),JVASP-17216,False,stoichiometric,LiGeRh2
LiIn2Ir,3.03407,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.53374,225.0,Fm-3m,full_Heusler_L21,,"[""Li"", ""In"", ""In"", ""Ir""]","[[0.5, 0.5, 0.5], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.0, 0.0, 0.0]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/In2Ir1Li1_ICSD_106798,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18831.xml,JARVIS-DFT (NIST),JVASP-18831,False,stoichiometric,LiIn2Ir
LiIn2Pd,1.63892,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.63566,225.0,Fm-3m,full_Heusler_L21,,"[""Li"", ""In"", ""In"", ""Pd""]","[[0.0, 0.0, 0.0], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.5, 0.5, 0.5]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/In2Li1Pd1_ICSD_106803,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-17839.xml,JARVIS-DFT (NIST),JVASP-17839,False,stoichiometric,LiIn2Pd
LiIn2Rh,2.54831,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.51827,225.0,Fm-3m,full_Heusler_L21,,"[""Li"", ""Rh"", ""In"", ""In""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/In2Li1Rh1_ICSD_106806,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-188073.xml,JARVIS-DFT (NIST),JVASP-188073,False,stoichiometric,LiIn2Rh
LiInAg2,0.62658,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.672061597377531,225.0,,full_L21,,,,C,primitive->conventional (x sqrt2),AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2In1Li1_ICSD_171472,,AFLOW,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2In1Li1_ICSD_171472,AFLOW_AGL,aflow:a19cdea5f11fd86f,False,stoichiometric,LiInAg2
LiMg2Ga,1.94365,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.63403,225.0,Fm-3m,full_Heusler_L21,,"[""Li"", ""Mg"", ""Mg"", ""Ga""]","[[0.5, 0.5, 0.5], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.0, 0.0, 0.0]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ga1Li1Mg2_ICSD_103782,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18703.xml,JARVIS-DFT (NIST),JVASP-18703,False,stoichiometric,LiMg2Ga
LiNi2Ge,6.22501,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.67532,225.0,Fm-3m,full_Heusler_L21,,"[""Li"", ""Ni"", ""Ni"", ""Ge""]","[[0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.0, 0.0, 0.0]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ge1Li1Ni2_ICSD_53673,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-17402.xml,JARVIS-DFT (NIST),JVASP-17402,False,stoichiometric,LiNi2Ge
LiPd2Pb,0.57286,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.48691,225.0,Fm-3m,full_Heusler_L21,,"[""Li"", ""Pd"", ""Pd"", ""Pb""]","[[0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.0, 0.0, 0.0]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Li1Pb1Pd2_ICSD_104767,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18739.xml,JARVIS-DFT (NIST),JVASP-18739,False,stoichiometric,LiPd2Pb
LiSnPd2,1.25016,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.34406,225.0,Fm-3m,full_Heusler_L21,,"[""Li"", ""Sn"", ""Pd"", ""Pd""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Li1Pd2Sn1_ICSD_642271,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-8123.xml,JARVIS-DFT (NIST),JVASP-8123,False,stoichiometric,LiSnPd2
LuInCu2,3.80571,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.48314,225.0,Fm-3m,full_Heusler_L21,,"[""Lu"", ""In"", ""Cu"", ""Cu""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu2In1Lu1_ICSD_102992,,Materials Project,https://next-gen.materialsproject.org/materials/mp-4972,"Materials Project (OPTIMADE, keyless)",mp-4972,False,stoichiometric,LuInCu2
MgInAg2,0.931927,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.73649,225.0,Fm-3m,full_Heusler_L21,,"[""Mg"", ""In"", ""Ag"", ""Ag""]","[[0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2In1Mg1_ICSD_605394,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-39159.xml,JARVIS-DFT (NIST),JVASP-39159,False,stoichiometric,MgInAg2
MgNi2Sb,3.62403,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.18741,225.0,Fm-3m,full_Heusler_L21,,"[""Mg"", ""Ni"", ""Ni"", ""Sb""]","[[0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mg1Ni2Sb1_ICSD_104841,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18741.xml,JARVIS-DFT (NIST),JVASP-18741,False,stoichiometric,MgNi2Sb
MgNi2Sn,4.31094,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.16903,225.0,Fm-3m,full_Heusler_L21,,"[""Mg"", ""Ni"", ""Ni"", ""Sn""]","[[0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.0, 0.0, 0.0]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mg1Ni2Sn1_ICSD_104842,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18742.xml,JARVIS-DFT (NIST),JVASP-18742,False,stoichiometric,MgNi2Sn
Mn2SnW,15.1916,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.09181,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""Mn"", ""Sn"", ""W""]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn2Sn1W1_ICSD_104980,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18254.xml,JARVIS-DFT (NIST),JVASP-18254,False,stoichiometric,Mn2SnW
MnAlAu2,1.37962,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.38082,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""Al"", ""Au"", ""Au""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Au2Mn1_ICSD_57504,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-15583.xml,JARVIS-DFT (NIST),JVASP-15583,False,stoichiometric,MnAlAu2
MnAlNi2,10.4247,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.78647,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""Al"", ""Ni"", ""Ni""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Mn1Ni2_ICSD_57976,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-15480.xml,JARVIS-DFT (NIST),JVASP-15480,False,stoichiometric,MnAlNi2
MnAlPd2,2.62667,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.17226,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""Al"", ""Pd"", ""Pd""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Mn1Pd2_ICSD_57981,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-16366.xml,JARVIS-DFT (NIST),JVASP-16366,False,stoichiometric,MnAlPd2
MnAlRh2,10.9375,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.03226,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""Al"", ""Rh"", ""Rh""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Mn1Rh2_ICSD_57986,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-16369.xml,JARVIS-DFT (NIST),JVASP-16369,False,stoichiometric,MnAlRh2
MnAsPd2,1.34173,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.27754,216.0,F-43m,inverse_Heusler_XA,,"[""Mn"", ""As"", ""Pd"", ""Pd""]","[[0.75, 0.75, 0.75], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/As1Mn1Pd2_ICSD_107955,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-75518.xml,JARVIS-DFT (NIST),JVASP-75518,False,stoichiometric,MnAsPd2
MnCo2Ge,14.6521,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.73089,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""Co"", ""Co"", ""Ge""]","[[0.75, 0.75, 0.75], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2Ge1Mn1_ICSD_185088,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-80738.xml,JARVIS-DFT (NIST),JVASP-80738,False,stoichiometric,MnCo2Ge
MnCo2Sn,4.13052,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.98157,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""Co"", ""Co"", ""Sn""]","[[0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2Mn1Sn1_ICSD_102531,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-17849.xml,JARVIS-DFT (NIST),JVASP-17849,False,stoichiometric,MnCo2Sn
MnGaCo2,4.26312,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.67887,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""Ga"", ""Co"", ""Co""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2Ga1Mn1_ICSD_102438,,Materials Project,https://next-gen.materialsproject.org/materials/mp-21171,"Materials Project (OPTIMADE, keyless)",mp-21171,False,stoichiometric,MnGaCo2
MnGaNi2,10.6305,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.78826,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""Ga"", ""Ni"", ""Ni""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ga1Mn1Ni2_ICSD_103803,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-17637.xml,JARVIS-DFT (NIST),JVASP-17637,False,stoichiometric,MnGaNi2
MnGePd2,1.79043,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.302584162071936,225.0,,full_L21,,,,C,primitive->conventional (x sqrt2),AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ge1Mn1Pd2_ICSD_53705,,AFLOW,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ge1Mn1Pd2_ICSD_53705,AFLOW_AGL,aflow:2bc72b69d5ebd9ad,False,stoichiometric,MnGePd2
MnGeRh2,3.91436,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.07648,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""Ge"", ""Rh"", ""Rh""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ge1Mn1Rh2_ICSD_53706,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-15427.xml,JARVIS-DFT (NIST),JVASP-15427,False,stoichiometric,MnGeRh2
MnInCu2,2.36892,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.20061,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""In"", ""Cu"", ""Cu""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu2In1Mn1_ICSD_102996,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18265.xml,JARVIS-DFT (NIST),JVASP-18265,False,stoichiometric,MnInCu2
MnInPd2,2.11036,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.38209,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""In"", ""Pd"", ""Pd""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/In1Mn1Pd2_ICSD_51988,,Materials Project,https://next-gen.materialsproject.org/materials/mp-31328,"Materials Project (OPTIMADE, keyless)",mp-31328,False,stoichiometric,MnInPd2
MnNi2Ge,1.25593,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.80116,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""Ni"", ""Ni"", ""Ge""]","[[0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.0, 0.0, 0.0]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ge1Mn1Ni2_ICSD_53687,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18142.xml,JARVIS-DFT (NIST),JVASP-18142,False,stoichiometric,MnNi2Ge
MnNi2Sb,2.46844,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.06549,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""Ni"", ""Ni"", ""Sb""]","[[0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn1Ni2Sb1_ICSD_643107,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-15520.xml,JARVIS-DFT (NIST),JVASP-15520,False,stoichiometric,MnNi2Sb
MnRh2Pb,3.53935,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.39408,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""Rh"", ""Rh"", ""Pb""]","[[0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn1Pb1Rh2_ICSD_104936,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-15424.xml,JARVIS-DFT (NIST),JVASP-15424,False,stoichiometric,MnRh2Pb
MnSbPd2,1.91199,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.47379,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""Sb"", ""Pd"", ""Pd""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn1Pd2Sb1_ICSD_643311,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-15220.xml,JARVIS-DFT (NIST),JVASP-15220,False,stoichiometric,MnSbPd2
MnSnPd2,2.05658,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.41678,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""Sn"", ""Pd"", ""Pd""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn1Pd2Sn1_ICSD_104945,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-17721.xml,JARVIS-DFT (NIST),JVASP-17721,False,stoichiometric,MnSnPd2
MnSnRh2,5.34893,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.28885,225.0,Fm-3m,full_Heusler_L21,,"[""Mn"", ""Sn"", ""Rh"", ""Rh""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn1Rh2Sn1_ICSD_104964,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-15496.xml,JARVIS-DFT (NIST),JVASP-15496,False,stoichiometric,MnSnRh2
NbAlCo2,23.0936,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.96899,225.0,Fm-3m,full_Heusler_L21,,"[""Nb"", ""Al"", ""Co"", ""Co""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Co2Nb1_ICSD_57620,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-15524.xml,JARVIS-DFT (NIST),JVASP-15524,False,stoichiometric,NbAlCo2
